Filename,Part Number,Minimum Operating Temperature(°C),Maximum Operating Temperature (°C),Maximum Length (mm),Maximum Width (mm),Maximum Height (mm),PIN Number,I_O、I_F (A),V_F(Forward Voltage) (V),V_RRM(Peak Repetitive Reverse Voltage) (V),I_R(Reverse Current) 
1N4148W N0571 REV.E.pdf,1N4148W,-55,125,3.86,1.8,1.35,2,0.15,0.715 @1mA、0.855 @10mA、1 @50mA、1.25 @150mA,75,2.5uA @75V、25nA @20V
BAS16.pdf,BAS16,-65,150,3.0,2.5,1.1,3,0.215,0.715 @1mA、0.855 @10mA、1 @50mA、1.25 @150mA,100,"30nA @25V,25°C、0.5uA @80V,25°C、30uA @25V,150°C、50uA @80V、150°C"
BAS21HT1-D.pdf,BAS21H,-55,150,2.7,1.35,1.0,2,0.2,1 @100mA、1.25 @200mA,250,"0.1uA @200V、100uA @200V,150°C"
BAT750.pdf,BAT750,-55,125,3.0,2.55,1.15,3,0.75,0.49 @750mA,40,100uA @30V
BAV99W_datasheet_en_20171221.pdf,BAV99W,150,150,2.2,2.2,1.0,3,0.15,1.25 @150mA,150,30 nA@25V、200nA @80V
CD4148WTP.pdf,CD4148WTP,-55,150,1.65,0.9,0.75,2,0.1,1 @10mA、1.25 @100mA,75,0.025uA @20V、5uA @75V
DFLS160.pdf,DFLS160,-65,150,3.9,1.93,1.0,2,1.0,0.5 @1A,60,"0.1mA @60V,25°C"
MBR15U150(TO-277).pdf,MBR15U150,-55,150,6.6,4.1,1.2,3,15.0,"0.84 @15A,25°C、0.73 @15A,125°C",150,"10uA @150V,25°C、2mA @150V,125°C"
MSB30M.pdf,MSB30M,-55,150,8.6,6.7,1.5,4,3.0,"1.1 @3A,25°C",1000,"5uA @1000V,25°C、500uA @1000V,125°C"
SBR05U20LPS.pdf,SBR05U20LPS,-65,150,1.075,0.675,0.4,2,0.5,"0.5 @0.5A,25°C",20,"50uA @20V,25°C、5mA @20V,150°C"
